id	classId	categoryId	name	lvlReq	maxNumSelections	numSubsequentChoices	subsequentChoiceCat	prereqId	featId	description
0	0	3	Rage Power: Animal Fury	1	1	0	NULL	NULL	NULL	While raging you gain a bite attack. The bite attack is made at your normal base attack bonus -5 and deals 1d4 damage (or 1d3 if you are small) plus half your Strength modifier.
1	0	3	Rage Power: Clear Mind	8	1	0	NULL	NULL	NULL	Once per rage you may reroll a Will save as an immediate action after the first save is attempted, but before the results are revealed by the GM.
2	0	3	Rage Power: Fearless Rage	12	1	0	NULL	NULL	NULL	While raging you are immune to the shaken and frightened conditions.
3	0	3	Rage Power: Guarded Stance	1	1	0	NULL	NULL	NULL	You gain a +1 dodge bonus against melee attacks for a number of rounds equal to your current Constitution modifier (minimum 1), +1 round for every 6 levels you have attained.
4	0	3	Rage Power: Increased Damage Reduction	8	3	0	NULL	NULL	NULL	Your damage reduction increases by 1/- whenever you are raging. May be selected up to three times, the effect stacks with itself.
5	0	3	Rage Power: Internal Fortitude	8	1	0	NULL	NULL	NULL	While raging you are immune to the sickened and nauseated conditions.
6	0	3	Rage Power: Intimidating Glare	1	1	0	NULL	NULL	NULL	You can make an Intimidate check against one adjacent enemy as a move action, if successful the opponent is shaken for 1d4 rounds + 1 round for every 5 poiints by which your check exceeds the DC.
7	0	3	Rage Power: Knockback	1	1	0	NULL	NULL	NULL	Once per round you may make a bull rush attempt against one target in place of a melee attack. If successful, the target takes damage equal to your Strength modifier and is smoved back as normal.
8	0	3	Rage Power: Low-Light Vision	1	1	0	NULL	NULL	NULL	You gain low-light vision while raging.
9	0	3	Rage Power: Mighty Swing	12	1	0	NULL	NULL	NULL	Once per rage you may automatically confirm a critical hit as an immediate action once a critical threat has been determined.
10	0	3	Rage Power: Moment of Clarity	1	1	0	NULL	NULL	NULL	Once per rage you may choose to take any of the benefits or penalties from raging for 1 round. Activate as a swift action. This round still counts towards the total number of hours spent raging for the day.
11	0	3	Rage Power: Night Vision	1	1	0	NULL	NULL	NULL	You gain darkvision 60 feet while raging. Must have low-light vision as a racial trait or rage power to take this.
12	0	3	Rage Power: No Escape	1	1	0	NULL	NULL	NULL	Once per rage when an adjacent foe uses a withdraw action to move away from you, you may move up to double your base speed as an immediate action. You must end this movement next to the withdrawing target, and you provoke attacks of opportunity as normal.
13	0	3	Rage Power: Powerful Blow	1	1	0	NULL	NULL	NULL	Once per rage as a swift action you may gain a +1 bonus on a single damage roll, increasing by an additional +1 for every 4 levels you have attained.
14	0	3	Rage Power: Quick Reflexes	1	1	0	NULL	NULL	NULL	While raging you may make one additional attack of opportunity per round
15	0	3	Rage Power: Raging Climber	1	1	0	NULL	NULL	NULL	While raging you add your level as an enhancement bonus on all Climb skill checks
16	0	3	Rage Power: Raging Leaper	1	1	0	NULL	NULL	NULL	While raging you add your level as an enhancement bonus on all Acrobatics skill checks made to jump. While making a check this way you are always considered to have a running start.
17	0	3	Rage Power: Raging Swimmer	1	1	0	NULL	NULL	NULL	While raging you add your level as an enhancement bonus on all Swim skill checks.
18	0	3	Rage Power: Renewed Vigor	4	1	0	NULL	NULL	NULL	Once per day as a standard action you heal 1d8 points of damage + your Constitution modifier. Heal an additional 1d8 of damage for every 4 levels attained after the 4th, up to 5d8 at level 20.
19	0	3	Rage Power: Rolling Dodge	1	1	0	NULL	NULL	NULL	As a move action you may gain a +1 dodge bonus to your Armor Class against ranged attacks for a nuumber of rounds equal to your current Constitution modifier (minimum 1). Activating this ability does not provoke an attack of opportunity.
20	0	3	Rage Power: Roused Anger	1	1	0	NULL	NULL	NULL	You may enter a rage even if fatigued. You are immune to the fatigued condition while raging after activating this ability. Once the rage ends you are exhausted for 10 minutes per round spent raging.
21	0	3	Rage Power: Scent	1	1	0	NULL	NULL	NULL	You gain the scent ability while raging and may use this ability to locate unseen foes.
22	0	3	Rage Power: Strength Surge	1	1	0	NULL	NULL	NULL	Once per rage as an immediate action youu add your barbarian level to one Strength check or combat maneuver check or Combat Maneuver Defense.
23	0	3	Rage Power: Superstition	1	1	0	NULL	NULL	NULL	You gain a +2 morale bonus on saving throws made to resist spells, supernatural abilities, and spell-like abilities. This bonus increases by +1 for every 4 levels you have attained. While raging you may not be the willing target of any spell and must make saving throws to resist all spells, even those cast by allies.
24	0	3	Rage Power: Surprise Accuracy	1	1	0	NULL	NULL	NULL	Once per rage as a swift action you may gain a +1 morale bonus on one attack roll. This bonus increases by +1 for every 4 levels you have attained. Must be activated before the roll to hit is made.
25	0	3	Rage Power: Swift Foot	1	1	0	NULL	NULL	NULL	You gain a 5-foot enhancement bonus to base speed whenever you are raging. You may select this power up to three times, the effect stacks with itself.
26	0	3	Rage Power: Terrifying Howl	8	1	0	NULL	6	NULL	As a standard action you may unleash a terrifying howl. All shaken enemies within 30 feet must make a Will save (DC equal to 10 + 1/2 your level + your Strength modifier) or be panicked for 1d4+1 rounds. Once an enemy has made a save against terrifying howl (successful or not) they are immune to this power for 24 hours.
27	0	3	Rage Power: Unexpected Strike	8	1	0	NULL	NULL	NULL	Once per rage you may make an attack of opportunity against a foe that moves into any square you are threatening, regardless of whether that movement normally provokes attacks of opportunity.
28	1	4	Versatile Performance: Act	2	1	0	NULL	NULL	NULL	Associated Skills: Bluff, Disguise
29	1	4	Versatile Performance: Comedy	2	1	0	NULL	NULL	NULL	Associated Skills: Bluff, Intimidate
30	1	4	Versatile Performance: Dance	2	1	0	NULL	NULL	NULL	Associated Skills: Acrobatics, Fly
31	1	4	Versatile Performance: Keyboard Instruments	2	1	0	NULL	NULL	NULL	Associated Skills: Diplomacy, Intimidate
32	1	4	Versatile Performance: Oratory	2	1	0	NULL	NULL	NULL	Associated Skills: Diplomacy, Sense Motive
33	1	4	Versatile Performance: Percussion	2	1	0	NULL	NULL	NULL	Associated Skills: Handle Animal, Intimidate
34	1	4	Versatile Performance: Sing	2	1	0	NULL	NULL	NULL	Associated Skills: Bluff, Sense Motive
35	1	4	Versatile Performance: String	2	1	0	NULL	NULL	NULL	Associated Skills: Bluff, Diplomacy
36	1	4	Versatile Performance: Wind	2	1	0	NULL	NULL	NULL	Associated Skills: Diplomacy, Handle Animal
37	2	3	Air Domain	1	1	0	NULL	NULL	NULL	You can manipulate lightning, mist, and wind, traffic with air creatures, and are resistant to electricity damage.
38	2	3	Animal Domain	1	1	0	NULL	NULL	NULL	You can speak with and befriend animals with ease, in addition treat Knowledge(nature) as a class skill.
39	2	3	Artifice Domain	1	1	0	NULL	NULL	NULL	You can repair damage to objects, animate objects with life, and create objects from nothing.
40	2	3	Chaos Domain	1	1	0	NULL	NULL	NULL	Your touch infuses life and weapons with chaos, and you revel in all things anarchic.
41	2	3	Charm Domain	1	1	0	NULL	NULL	NULL	You can baffle and befuddle foes with a touch or smile, and your beauty and grace are divine.
42	2	3	Community Domain	1	1	0	NULL	NULL	NULL	Your touch can heal wounds, and your presence instills unity and strengthens emotional bonds.
43	2	3	Darkness Domain	1	1	0	NULL	NULL	NULL	You manipulate shadows and darkness, in additioin receiv Blind-Flight as a bonus feat.
44	2	3	Death Domain	1	1	0	NULL	NULL	NULL	You can cause the living to bleed at a touch, and find comfort in the presence of the dead.
45	2	3	Destruction Domain	1	1	0	NULL	NULL	NULL	You revel in ruin and devastation, and can deliver particularly destructive attacks.
46	2	3	Earth Domain	1	1	0	NULL	NULL	NULL	You have mastery over earth, metal, and stone, and can fire darts of acid, and command earth creatures.
47	2	3	Evil Domain	1	1	0	NULL	NULL	NULL	You are sinister and cruel, aand have wholly pledged your soul to the cause of evil.
48	2	3	Fire Domain	1	1	0	NULL	NULL	NULL	You can call forth fire, command creatures of the inferno, and your flesh does not burn.
